,Next_0,Next_1,Next_2,Next_3,Next_4,Next_5,Next_6,Next_7,Next_8,Next_9,Next_10
Start_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Start_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Start_2,0.0,0.016,0.002,0.0,0.002,0.004,0.0,0.004,0.002,0.004,0.966
Start_3,0.0,0.024,0.012,0.008,0.008,0.006,0.006,0.01,0.008,0.006,0.912
Start_4,0.0,0.004,0.03,0.01,0.01,0.002,0.006,0.002,0.008,0.004,0.924
Start_5,0.0,0.04,0.016,0.03,0.016,0.02,0.006,0.012,0.01,0.012,0.838
Start_6,0.0,0.016,0.028,0.028,0.038,0.02,0.02,0.018,0.01,0.018,0.804
Start_7,0.0,0.008,0.034,0.032,0.024,0.046,0.042,0.032,0.014,0.026,0.742
Start_8,0.0,0.012,0.012,0.032,0.044,0.03,0.036,0.052,0.03,0.008,0.744
Start_9,0.0,0.024,0.03,0.026,0.038,0.028,0.054,0.042,0.038,0.032,0.688
Start_10,0.0,0.01,0.024,0.014,0.012,0.042,0.04,0.04,0.046,0.046,0.726
