Time_Before_Event,Mean_Velocity_Killer,Mean_Velocity_Victim,Logit_Coefficient
-5.0,525.5638311639595,504.67255302605525,0.00035257289983473667
-4.444444444444445,527.8515731356526,502.99305810730044,0.0004246785034983941
-3.888888888888889,528.0285995372202,502.7555603161299,0.00041871288436386633
-3.333333333333333,531.2535987342368,497.4836550502282,0.0005608800796371409
-2.7777777777777777,528.7494559170689,498.0682088217101,0.0005234547515655849
-2.2222222222222223,525.7261517191436,488.8601726084728,0.0006728512674528185
-1.6666666666666665,517.9953582882418,484.43861107537845,0.0006266398572859533
-1.1111111111111107,499.2990907964004,475.80167915076487,0.0004490423981525641
-0.5555555555555554,452.18639468448686,466.0055002743321,-0.0002736817322395641
0.0,436.06425775368484,454.9904680141158,-0.00034847463270930236
